日期,N SAV,接电话人,时间,N° client,店名/公司名,cp,tel/wechat/来访,问题,处理人1,version,日期-机型,解决记录,处理时间,处理人2,结果,如果未能马上解决，补偿方法,处理时间,状态
12/03/2018,211,,,CR8218002,panda wok,82000,06 22 83 49 42,"yu00000185 同一个ticket 出现两张单
1. 今天又出现同样的情况，出现这种情况时，软件会退到密码的界面或者退到输桌号的界面，以前都是到开机界面
2. 软件没输入过的菜在软件里按了以前的code打出来的是menu2euro",,180229,20180227 chic,"1. 需升级到0315版本
2.等客人照片",,,"
已升级到180315 （16/03）客人提交了一个需求 想要一次打10张facture 因为经常有很多人吃饭 没人要一张facture",,,1
12/03/2018,212,,,CM6817001,crocky bazzar,,,重启了机器，打印仍然卡死,,,"20180209
luxe",看了打印机的接口，客人同事接连了usb线和com口线，让客人先把usb线拔掉,,,,,,1
12/03/2018,213,,,CM7517003,LIANE BELLEVILLE,75020,wechat  /06 11 32 86 28,不能同步，上次技术员说不是网络的问题，是机器的问题,,,"20171207
neo",07/03处理过 客人那边连上远程发现没有问题 以前发图过来 没有ip 没有连上网 打过两次没人接（14/03）,,,客人那边重新连接了网络 已经ok,,,1
12/03/2018,hc00000211,,,"20180222
chic",HUGO,77500,0164216504,1.同一单出现了两个 TICKET   2.怎么把他们减掉,,,"20180319
chic",17H40留言未接，WECHAT中发了视频，客人只使用VENTAP，出现两张相同的单，见00000228，转SAV,,,,,,1
,,,,,,,,,,,,,,,,,,1
13/03/2018,517,,,CR7518057,Jardin celeste ,75019,0635260420,昨天刚拿走机器，同样的单会出两张,,0226,"20160428
pos desir
软件","已跟客人解释技术部最快会在4.15日出一个新的版本，如果解决此问题会和客人联系
需要升级到180331",,,,18/04 11h12未接留言 23/04 11H 未接留言,,1
13/03/2018,214,,,CR8118002,Panda D‘ or’,81600,"0563338888
Wang25062005","1. 开不了机，第二块黑屏，详见微信图片
2. 不知道如何赠送咖啡酒水                     3.开机后第二块屏会与第一台屏同步但之后会显示 NO SIGNAL DETECTED",,,20180212 luxe  vga屏,"1.转专家： 需要远程调
2. 转chao                           3.已关机需重置  ok",,,,,,1
13/03/2018,215,,,CR7618007,sushi long,76600,0695790838,老李客人，收到profoma facture后发现没有给她老客人的折扣,,,"20180514
luxe",已回复,,,ok,,,1
13/03/2018,216,,,CM4718001,CHL,47,0981724449/0652859888,之前有反映过两次，但没接到电话。已更新系统，发现只要后台平板一更新价格，前台caisse 肯定就死机,,,"20161014
pos desir
软件","已跟客人说是要等，新ventap要比原erp要慢。
让客人帮忙统计一下多少条商品，要多长时间可以更新完",,,ok,,,1
13/03/2018,217,,,CR8218002,panda wok,82000,wechat,"同一张单出来两个相同的ticket,已经出现好几次了，是否要把机器带回来换",,,20180227 chic,"已跟客人解释技术部最快会在4.15日出一个新的版本，如果解决此问题会和客人联系

需升级到0315版  同00000211",,,non 重复2张ticket,已跟客人解释技术部最快会在4.15日出一个新的版本，如果解决此问题会和客人联系,,1
13/03/2018,218,,,CR9317008,Afa,93300,0659812568,开机开不了，很卡 等待客人视频,,,20180105 neo,yil已留言,,,,,,1
13/03/2018,219,,,cr7317001,shanghai wok,73200,06 66 41 34 43,contrat classic    小版本升级 下午3点左右有时间,,,"20171023
neo",打电话没接已留言（14/03，21/03）,,,见478,,,1
13/03/2018,220,,,CR6017003,restaurant wang,60,0651769857,更新后，单子导不到新机器了，老机器也不能valider和取消单子了，请在下午2点半后才回电,,,"20171213
neo",已跟客人解释更新是什么意思。导入从今天上午就正常了，已解释了不能导入的原因,,,ok,,,1
13/03/2018,221,,,CR7517029,NEW SUKIYAKI,75011,06 17 96 62 80/01 49 23 04 98,contrat classic    小版本升级 下午有时间,,,"20171227
chic",已约RDV,,,15/03 已升级 V180226,,,1
13/03/2018,222,,,CR6017002,new tokyo/ tamaya,60500,0624705051,"20180213已经送修过一次，安装了驱动和校准了屏幕。电脑还是经常死机，2：30电脑不用了，之后3：00电脑时间就不动了，每次都重启才行
今天开始屏幕又对不准 客人希望换机器",,,20171207  chic,20180213已来过一次做屏幕校准       20180320 下午3点客人把机器拿来刷机,,,,如果刷机还不行，就给客人换机器,,1
13/03/2018,223,,,CR7517023,唐记串串香,,0673008501,"1.ventap还是出不了中文单子，之前有说过要出中文的
2. 百位数字打印出来显示不正常",,,"20171219
neo","1.更新软件到最新版本 0315
2.已提交bug",,,non,等待升级0315 已约16/03的RDV,,1
13/03/2018,224,,,CM4718001,CHL,47,0981724449/0652859888,"1.后台平板一更新价格，前台caisse 肯定就死机
出现错误 902  转wangsen
2. contrat classic： 小版本升级 下午1：30有空做升级",,,"20161014
pos desir
软件",18h10打电话客人说忙 10分钟后发远程过来 之后一直没发 18h40打店里电话没人接（13/03） 后台开了防火墙 已经关闭 2台前台更新到180226 （14/03）,,,ok,,,1
13/03/2018,225,,,CR7518057,Jardin celeste ,75019,0635260420,昨天刚拿走机器，同样的单会出两张,,0226,"20160428
pos desir
软件",已跟客人解释技术部最快会在4.15日出一个新的版本，如果解决此问题会和客人联系,,,"non
见0000517",已跟客人解释技术部最快会在4.15日出一个新的版本，如果解决此问题会和客人联系,,1
13/03/2018,226,,,CR8518001,claudine,85150,0699987699,升级了系统 偶尔会进单进到一半就卡住  结账时点对勾，卡住，等30秒 ,,,"20180216
neo",专家：建议更新一下软件试试看 ,,,21/03 已升级 V20180315,,,1
,,,,,,,,,,,,,,,,,,1
14/03/2018,227,,,CR7518052,sushi pan,75012,0658546199,arcrestoG 没有中文 希望14:30左右打电话,,,"20180227
neo",,,,,,,1
14/03/2018,228,,,CR7718011,hugo,77500,0164216504,只用ventap 出现了两张一样的ticket,,,20180222 chic," 技术部最快会在3.15日出一个新的版本，如果解决此问题会和客人联系
需升级0315版",,,21/03 已升级 V20180315,,,1
25/01/2018/14/02/2018,hc0000000076/00000115,,,cr8517001,fa,85200,0251878888/0783374098,取消分单后菜名会变/ 鼠标停在addition的位置上电视点触摸屏 不反应,,180107p,20171226 neo,"专家：1802开头的版本好像就已经修复这个问题了
更新一下吧 已约RDV（14/03）",,,15/03 已升级 V180226,,,1
21/02/2018/01/03/2018,00000132/hc00000179,,,cr5717009,aux delices d asie,57400,0666086888,"1.经常死机 3.分单在取消酒水会变/ 分单只显示一页 
4. pda 点完单 单子会跳到其他桌子，或者消失",,180107p,20171214 neo,"需要升级到0315版本
1和4 等升级后再看",,,21/03 已升级 V20180315,,,1
21/02/2018,hc00000,,,CR5418005,sakura,54000,0635364771,取消分单后最后一个东西会变成上一张单的最后一个商品 1.这个问题客人已经没再提 现在有新的问题 客人老机器在后台客户资料那里能找到客户 但是前台点单那里说找不出来 而且说打印比较慢 2.新机器需要外送自动打折，需要安排升级 3.说连机以后新机器会卡 已经解释过连机后 新机器需要连接老机器（14/03）,,180124p,20180205 neo,"专家：1802开头的版本好像就已经修复这个问题了
更新一下吧 ",,,22/03 已升级 V20180315,,,1
21/02/2018,133,,,CR7818012,nagoya ,78800,,vms导入后单会重复,,,"20180131
luxe","专家：     使用    ARCSOLU公司软件\ArcResto G 转VMS后还能再转\ARUS.exe
程序升级一下客户的DATA.FDB，就不会出现传过一次修改后还能再传一次的问题了",,,20180426 16:00已升级,,,1
14/03/2018,229,,,CR1218001,panda,12000,0652412789,打印机不能出单  usb,,,20180102  luxe,"客人说自己用usb的线。已让客人多次重启换usb接口，都不能用
basic 的合同  让客人把机器拿过来     后来发现客人插错线了 多次尝试仍不行。客人自己重新买了根线就好了",,,,,,1
14/03/2018,230,,,CR8118002,Panda D'or,81600,0563338888/0637358765,客显刚寄到，线都插好了，但屏幕还是没显示   老李答应邮寄的屏幕 所以主机上没有设置,,,20180212 luxe  vga屏,15/03/2018专家已调,,,,,,1
14/03/2018,231,,,CR6418001,fujin,64230,0967677432/06 78 71 71 08,客显刚寄到，线都插好了，但屏幕还是没显示   老李答应邮寄的屏幕 所以主机上没有设置,,,"20180212
luxe",15/03/2018专家已调,,,,,,1
14/03/2018,232,,,CR3018004,he ping/ shanghai,30900,06 12 42 01 75,今天是第二次   同一张单会出现2张  都是cb结的,,,20180227 neo,"需升级0315
3点-6点之间",,,"non 同一张单会出两张单
20/03 已升级到0315版本",已跟客人解释技术部最快会在3.15日出一个新的版本，如果解决此问题会和客人联系 如果3月15日的版本没有，可能会在4月15日的版本出来,,1
14/03/2018,233,,,CR1318002,la pivoine/ SAS MARTIGO,13500,0781727666,昨天连了新老机器，今天还是不能用；责怪我们做完远程没给他回电话，王森回了但没人接,,,"20180430
neo",已转刘欣,,,,,,1
14/03/2018,234,,,CR9418014,changsheng,94,0613568157,"1.用键盘输入时，触屏上的杠""丨”有时会消失掉，外置键盘就输不进去，这时触屏键盘是可以用的，或者重启才能重新使用外置键盘，有什么更好的解决方法吗？
",,,"20180219
chic","需更新软件到0315版本
客人周一或平时的下午3点钟有时间",,,21/03 已升级 V20180315,,,1
14/03/2018,235,,,CR4218001,WOK 18,42152,06 85 86 19 80,"contrat classic 小版本升级
客人下周二下午有时间，或者平时下午都可以",,,"20180116
chic",21/03 未接留言,,,等证书升级时一起升级,,,1
14/03/2018,236,,,,or grill,78500,0698278080,"1.厨房打印机要声音
2.厨房单字太小
3.月recette显示总金额那栏太窄，价格看不到",,,,"23/03    1.让客人发照片
2. 客人会发照片
3.之后版本如果修改的话 会联系他",,,,,,1
,,,,,,,,,,,,,,,,,,1
15/03/2018,237,,,CR3317001,chez hayashi,,06 64 50 66 88,"1. contrat classic  小版本升级
2. 厨房单要加code 已发liv厨房单 客人已确认
3. 菜牌不全 需要重新导入
4.liv vms导入 appartement 和interphone没导入",,,"20171226
neo",已约22/03 下午15h,,,ok,,,1
15/03/2018,238,,,CR4917001,Sushi LG,49100,0768893270,已经更新过，想调大字体，可否调成如图蓝字那样,,,"20171102
neo",,,,,,,1
15/03/2018,239,,,CM9317002,city store,,0144021148/0768964554,2号机又出现同一单出两张ticket情况,,,"20160930
quantun+软件","需更新软件到0315版本
见00000196",,,,,,1
15/03/2018,240,,,CR6618001,Espace Wok,66000,0677834472,1.钱箱弹不出来 ,,,"20180219
luxe",自己的钱箱，第一次用在我们的机器上。客人希望一个按钮可以随时开。chao给客人发视频,,,,,,1
15/03/2018,241,,,CR8218002,panda wok,82000,0622834942,统一单出来两张ticket,,,20180227 chic,同 00000211,,,,,,1
15/03/2018,242,,,CR7518001,hoki 12,75020,0613496688,"1.原买的neo 的机器 想换chic的机器,
2.旧caisse很卡",,,,"1. 20180103取走，不能换
2. 客人一段时间回国，未并帐，让客人先并帐",,,,,,1
15/03/2018,244,,,CR8118002,panda d or,81600,0637358765,电脑黑屏，无显示,,,20180212 luxe  vga屏,15/03/2018专家已调,,,,,,1
15/03/2018,245,,,CR8218001,LE GRAND BUFFET,82000,0783308278,"1. 同一张单打出两张
2. surplace换桌 vms会重复",,,"20180122
neo","3点左右有时间
需升级至0315+升级fdb",,,见 0000522,,,1
15/03/2018,246,,,CR0517001,Uni Wok,05000,0967306389,PDA没信号 之前天线关掉重启找到了信号 15/03客人又说找不到信号    见00000210,,,"20170929
neo",rdv16/03/18  见0000261,,,,,,1
15/03/2018,522,,,CR8218001,LE GRAND BUFFET,82000,0783308278,"1. 同一张单打出两张
2. surplace换桌 vms会重复",,,"20180122
neo","3点左右有时间
需升级至0331
2. 升级fdb",,,23/04从180124P升级到20180331,,,1
,,,,,,,,,,,,,,,,,,1
16/03/2018,248,,,CR0618003,le Siecle royal ,06200,0632451486,1.小显示屏接上caisse一进系统就没信号，关机后显示屏又有显示了 2. 相约今天15h做远程连显示屏 from wechat f,,,"20180205
luxe",专家已调好,,,,,,1
16/03/2018,249,,,CM6817001,crocky bazzar colmar,,0628680100,1.同一张单出两张ticket，做修改价格时出现闪退到开机界面，详见微信图片  2. 日账单没有显示退现金的具体情况，详见微信,,,"20180209
luxe","1. 升级到0315版
2.已提需求",,,22/03 已升级 V20180315,,,1
16/03/2018,250,,,CR8517001,FA,85200,0783374098,每次打开pda系统都自动进emporter界面，详见微信视频  转王森  ,,,"20171226
neo",3台PDA有一台这样 需要再约时间pda装软件,,,,,,1
16/03/2018,251,,,CR8218002,panda wok,82000,0622834942,同一单出现两张ticket,,,20180227 chic,见 00000211,,,,,,1
16/03/2018,252,,,CM6817001,crocky,68,0628680100,1. 员工做了avoir 现金退的，但晚上整理日账就不知道现金退了多少？有没有解决方法？,,,"20180209
luxe",提交需求,,,,,,1
,,,,,,,,,,,,,,,,,,1
19/03/2018,253,,,CR0517001,uni wok,05,0967306389,PDA由连不上网络，这是第二次了,,,"20170929
neo",见0000261,,,,,,1
19/03/2018,247,,,CR7518004,Tonxin / Bambou vert,75015,wechat/0768375689,经常开机后死机，有没有什么解决方法？,,,20180104 neo,微信讯问情况,,,,,,1
19/03/2018,254,,,CR2117002,royal buffet,21,wechat,新老机器连不上，见图  转王森,,,"20171122
neo",12:21 未接留言 合并到下一条  见265,,,,,,1
19/03/2018,255,,,CR8118004,siecle d or,80100,0651486450,李萌转：有时开机后触屏不好用  已让客人发视频,,,20180206 chic,客人未发视频 让客人检查第二块屏幕是否亮起,,,,,,1
19/03/2018,256,,,CR8018002,Longeau,80330,0651579954,"死机了，详见wechat vedio
屏幕不准 点不到 ",,,20180125 chic,cui：驱动+校准,,,,,,1
19/03/2018,258,,,CM9317002,citystore ,93300,0144021148/0768964554,1.Ticket 打不出来，打duplicata的话付款方式等打不出来，详见微信图  2. 同一张单出了两次，想做avoir，但做不了饭票的avoir只能做现金的,,,"需要升级到0330版
见0000523",已提交bug00000207,,,,,,1
19/03/2018,259,,,CR0517001,uni wok,05,0967306389,PDA由连不上网络，这是第二次了,,,"20170929
neo",见0000261,,,,,,1
,,,,,,,,,,,,,,,,,,1
20/02/2018,260,,,CR0618003,le siecle royal,06200,0632451486,想买第二块客显备用,,,"20180205
luxe",客人原来买的7寸的屏幕，晚点打过来  已报价370ht 客人考虑一下,,,,,,1
20/02/2018,261,,,CR0517001,uni wok,05,0492666888,PDA一直连不上,,0226,"20170929
neo","专家：重新设置了picostation的带宽，重启了天线，打开了Firebird防火墙端口。如果还无法连接，则考虑让客户把机器拿过来    
让客人把机器拿过来",,,"又有一张单2个ticket的情况，chao
已经升级到0315
",,,1
20/02/2018,262,,,CR9418014,chang sheng,94,0613568157,出现错误提示，详见微信图片,,,"20180219
chic","1.开机按密码出现4个错误对话框 已提交bug，专家：他按了4次软件 ...
2.客人还有键盘不能用的问题 已约升级0315版本，所以先用这个版本有问题会再联系我们",,,,,,1
20/02/2018,263,,,CR7518029,youni,75015,0145778812,fiche de repas 打不出，但是其他可以,,,,让客人发视频   后来客人自己找到怎么做了,,,,,,1
20/02/2018,264,,,CR7718010,hokkaito,77380,0666838889,"开机后没反应，屏幕停留在开机  界面
客人已经重启多次 建议客人先用鼠标 鼠标可以用",,,20180222 chic,专家：安装驱动后无反应，已经通知客人把机器拿过来  见00000304,,,,,,1
20/02/2018,222,,,CR6017002,new tokyo/ tamaya,60500,0624705051,"20180213已经送修过一次，安装了驱动和校准了屏幕。电脑还是经常死机，2：30电脑不用了，之后3：00电脑时间就不动了，每次都重启才行
今天开始屏幕又对不准 客人希望换机器",,,,20180213已来过一次做屏幕校准       20180320 下午3点客人把机器拿来刷机+屏幕校准+0315,,,,,,1
20/02/2018,265,,,CR2117002,royal buffet,21,wechat/0783853360,ventap 和resto 连不上,,,"20171122
neo",17：50打给客人 客人给了另一个电话 打过去没人接 18:22再打过去没接留言,,,客人自己的box 但是不知道账号密码 无法固定IP V8机器固定IP1.53 之前ventap算号1.54 但是现在变成了1.91 重新算了一个临时号 同时让客人尽快问盒子的账号密码 ,,,1
20/02/2018,266,,,CR7518001,hoki12,75020,0613496688,并账并不了，详见微信图片  错误：数据库坏了,,,"20180329
luxe",周四下午3点多来,,,,,,1
20/02/2018,276,,,CR9218012,shinobi,92600,wechat,不知道怎么下单 arcresto,,,,转刘昕,,,,,,1
,,,,,,,,,,,,,,,,,,1
21/03/2018,267,,,CR9418004,royal sushi,94380,0698518688,客人想用笔记本替换老机器,,,,rdv 21/03   15:00  现金已结，但是自己打印机是com口，客人再确认下打印机，再与我们联系装驱动,,,,,,1
21/03/2018,268,,,CR6017002,New tokyo /Tamaya,60500,0624705051,机器修了拿回家还更坏了，单子打不出来，电脑触屏也不行,,,,让客人把机器拿来保修，我们借一台desirpos给她  已跟客人解释，客人要找老李，打回给客人，15:37 客人未接,,,见0000291,,,1
21/03/2018,269,,,CR5717002,CITY WOK,57000,03 87 18 38 57/06 58 06 71 26/06 58 34 07 67        ,VENTAP CLASSIC 小版本升级,,,,客人还没用 用的时候再打来,,,,,,1
21/03/2018,270,,,CR4917002,villa d or,49130,0650059788,VENTAP CLASSIC 小版本升级,,,,客人店里没网线 说买了网线打回来 （21/03）,,,等证书升级时一起升级,,,1
21/03/2018,271,,,CR5717009,aux delices d' asie ,57,0666086888,1.经常死机，鼠标可以动，但用鼠标按按钮都没反应  2. 经常跳单，resto的commande能出来，但一下子就消失找不到了  3.分单时人数一多就没法翻到第二页,,,,见00000132/hc00000179,,,,,,1
21/03/2018,272,,,CR7818015,lolotus bleu,78,0628526910,1.称还是不行，见微信图片 2.听我们公司的别的客人说我们系统在5月更新后只要下单都会留底，真的吗？,,,20180306  neo+balance,"从拿走之后就是不是弹出 ERREUR DE LECTURE DE BALANCE, 之前重新放了商品，紧了线就好了，但是今天这两个办法都试了都不行，只能重启称才可以    建议客人来换跟线  客人比较忙，看看时间再说",,,,,,1
21/03/2018,273,,,CR7517010,sushi story ,75013,0618778292,"1.打包后，encaiser 后，vns又出现同样的单子 ，之前有在微信上发过视频（之前有反映过，但没有后文） 2. 现在surplace也出现同样的情况了
3.希望emporter的fiche de repas可以不限人数",,,,"1.2. 升级到0315+升级data.fdb
3. 提交需求",,,RDV 22/03 14h30 ok,,,1
21/03/2018,274,,,CR9218012,shinobi,92600,wechat,已连接 tablette  找不到vms,,,,转刘昕,,,,,,1
21/03/2018,275,,,CM1317001,GAO LI DA,,07 77 99 85 25,2台luxe， 其中一台luxe速度比较慢,,,,专家：升级到0515版本看看  ,,,,,,1
21/03/2018,276,,,,shao Givors ,69700,0613275869,有两个pda坏了  1. 一台掉水里了  2. 一台自动关机,,,,"让客人寄过来
客人又买了一台pda 已拿走 视频帮客人调试",,,,,,1
21/03/2018,277,,,CR9218012,shinobi,92,0623050889,路由器连不了,,,,见0000377,,,,,,1
21/03/2018,278,,,,mr zhao,75002,06 01 17 81 58,pda 连不上，天线一个灯都不亮 客人联系王森个人，王森帮忙检测，发现天线灯不亮。客人已把天线拿来了，但poe没拿来。客人比较急，希望有替代解决方案。今天来定ventap,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,1
22/03/2018,266,,,CR7518001,hoki12,75020,0613496688,并账并不了，详见微信图片  错误：数据库坏了,,,"20180329
luxe",周四下午3点多来,,,,,,1
22/03/2018,279,,,CR5717008,BUFFET FEVES,57280,03 87 77 77 77/ 06 25 50 42 32,CONTRAT CLASSIC 小版本升级 下午有时间,,,,已经联系 客人想下周下午升级（22/03）,,,03/05/2018 已升级V20180415,,,1
22/03/2018,280,,,CR5918002,wan da,59650,06 79 22 62 18/06 84 68 99 98（打这个电话）,"1. CONTRAT CLASSIC 小版本升级 下午有时间
2. 会死机
3.有一个pda连不上，联机的时候自己少说了一台，",,,,打过电话 客人希望下周3点以后升级（23/03）,,,,,,1
22/03/2018,281,,,CM6817001,crocky bazzar colmar,68124,0628680100,1.客人的扫码器每次开机都会乱码，需要换一个口才能用，客人问怎么能解决这个问题 2.发票上没有单价 只有数量和总价  客人那边的客户发票需要单价（已让客人发图片到微信）,,,"20180209
luxe",1. 客人已重买了一台扫码器,,,,,,1
22/03/2018,282,,,CM6817001,ccrocky bazzar ,68124,0628680100,ticket上没有商品单价，能不能加上去？,,,"20180209
luxe",转chao,,,,,,1
22/03/2018,283,,,CR7517029,new suliyaki,75011,0617966280,听说更新系统后可以改成凌晨后才clodurer的，上周更新后却没有变成这样,,,"20171227
chic",已转给chao,,,,,,1
22/03/2018,284,,,CR3318001,royal buffet,33700,0660298043,月账数额与实际的不符 已发图片,,,,只是机器里没有位置显示  已提交bug,,,,,,1
22/03/2018,285,,,CR2117002,royal buffet,21,0679415994,有人给他打电话没接到，可能是box里IP地址设置问题,,,"20171122
neo",17h11打了没接（22/03）,,,已跟客人解释,,,1
22/03/2018,286,,,CR9218012,shinobi,92600,0623050889,1. 导过去的资料没有客户名字  2. 下单时加客户名字出现了图微信图片的错误提示,,,,见0000298,,,,,,1
,,,,,,,,,,,,,,,,,,1
22/03/2018,288,,,CR7517010,sushi story,75013,0618778292,系统非常慢，详见WeChat视频,,,,昨天晚上很慢，今天又不慢了，让客人中午在用一下，如果还有问题，需要检查下网络和arcresto数据库,,,,,,1
22/03/2018,266,,,CR7518001,hoki12,75020,0613496688,并账并不了，详见微信图片  错误：数据库坏了,,,"20180329
luxe",硬盘有问题，已修复。但是并了一天的帐后，又出现错误。无法解决数据库损坏的问题，只能换机器后，才能修复数据 ,,,,,,1
22/03/2018,291,,,CR6017002,Newtokyo /Tamaya,60500,0624705051,已更换desirpos，但是屏幕还是不准,,,,26/03专家去送一台chic给客人,,,,,,1
,,,,,,,,,,,,,,,,,,1
23/03/2018,289,,,CM9317002,city Store,93300,0144021148/0768964554,1. 又出现同一单两张相同ticket 2. 出现了错误提示,,,"20160930
quantun+软件","仍然是2号机  转专家：怀疑是存储的时候ticket
detail的id重复了，有可能是因为随机数生成器的问题。更换了一随机数生成器。应该没有问题了。     需升级0331版本",,,non 2/04那周会联系她升级,,,1
23/03/2018,290,,,CR7818019,ROYAL GOURMET,78000,06 19 91 09 38,已并帐 不知道怎么办,,,,已解释,,,,,,1
23/03/2018,292,,,CR9118002,chez zhou,91160,0622352817,反映3月16号的帐已经并帐 statistique中还有已经结过的单,,,,已提交bug211,,,,,,1
05/04/18,293,,,CR6318004,Asie,63120,0681499919,只要点（VMS）ARCRESTO就会出现错误提示（2018.02.26 NEO）,,,,1.专家建议更新版本。   2.已升级 180331,,,,,,1
